topic_id,source,name,url,doi,year,venue,contribution_type,overlap_class,relevance_score,stars_or_downloads,why_overlaps,how_we_differ,differentiator_strength
T53_N4,paper,Dynamic Benchmarking of Reasoning Capabilities in Code Large Language Models Under Data Contamination,https://doi.org/10.48550/arXiv.2503.04149,10.48550/arXiv.2503.04149,2025,International Conference on Machine Learning,benchmark,PARTIAL_OVERLAP,0.5,,Relevance 0.50: paper titled 'Dynamic Benchmarking of Reasoning Capabilities in Code Large Language Models Under Data Contaminatio' contributes a 'benchmark' matching target artifact 'empirical+database'. Matched keywords: primary:title:data contamination.,Our proposed work focuses specifically on 'Test-set contamination audit of healthcare LLM benchmarks — noise-pruned'. Narrowing note: removed noisy secondaries=['MedQA']; added to negatives. Articulate a concrete contribution gap versus this existing work before promoting to GO (see §6 verification log).,moderate
T53_N4,paper,Benchmarking Large Language Models Under Data Contamination: A Survey from Static to Dynamic Evaluation,https://doi.org/10.18653/v1/2025.emnlp-main.511,10.18653/v1/2025.emnlp-main.511,2025,Conference on Empirical Methods in Natural Language Processing,benchmark,PARTIAL_OVERLAP,0.5,,Relevance 0.50: paper titled 'Benchmarking Large Language Models Under Data Contamination: A Survey from Static to Dynamic Evaluat' contributes a 'benchmark' matching target artifact 'empirical+database'. Matched keywords: primary:title:data contamination.,Our proposed work focuses specifically on 'Test-set contamination audit of healthcare LLM benchmarks — noise-pruned'. Narrowing note: removed noisy secondaries=['MedQA']; added to negatives. Articulate a concrete contribution gap versus this existing work before promoting to GO (see §6 verification log).,moderate
T53_N4,paper,VeriContaminated: Assessing LLM-Driven Verilog Coding for Data Contamination,https://doi.org/10.1109/ICLAD65226.2025.00017,10.1109/ICLAD65226.2025.00017,2025,2025 IEEE International Conference on LLM-Aided Design (ICLAD),paper,PARTIAL_OVERLAP,0.5,,Relevance 0.50: paper titled 'VeriContaminated: Assessing LLM-Driven Verilog Coding for Data Contamination' contributes a 'paper' matching target artifact 'empirical+database'. Matched keywords: primary:title:data contamination.,Our proposed work focuses specifically on 'Test-set contamination audit of healthcare LLM benchmarks — noise-pruned'. Narrowing note: removed noisy secondaries=['MedQA']; added to negatives. Articulate a concrete contribution gap versus this existing work before promoting to GO (see §6 verification log).,moderate
T53_N4,paper,Overestimation in LLM Evaluation: A Controlled Large-Scale Study on Data Contamination's Impact on Machine Translation,https://doi.org/10.48550/arXiv.2501.18771,10.48550/arXiv.2501.18771,2025,International Conference on Machine Learning,empirical,PARTIAL_OVERLAP,0.5,,Relevance 0.50: paper titled 'Overestimation in LLM Evaluation: A Controlled Large-Scale Study on Data Contamination's Impact on M' contributes a 'empirical' matching target artifact 'empirical+database'. Matched keywords: primary:title:data contamination.,Our proposed work focuses specifically on 'Test-set contamination audit of healthcare LLM benchmarks — noise-pruned'. Narrowing note: removed noisy secondaries=['MedQA']; added to negatives. Articulate a concrete contribution gap versus this existing work before promoting to GO (see §6 verification log).,moderate
T53_N4,paper,Search-Time Data Contamination,https://doi.org/10.48550/arXiv.2508.13180,10.48550/arXiv.2508.13180,2025,arXiv.org,paper,PARTIAL_OVERLAP,0.5,,Relevance 0.50: paper titled 'Search-Time Data Contamination' contributes a 'paper' matching target artifact 'empirical+database'. Matched keywords: primary:title:data contamination.,Our proposed work focuses specifically on 'Test-set contamination audit of healthcare LLM benchmarks — noise-pruned'. Narrowing note: removed noisy secondaries=['MedQA']; added to negatives. Articulate a concrete contribution gap versus this existing work before promoting to GO (see §6 verification log).,moderate
T53_N4,paper,The Emperor's New Clothes in Benchmarking? A Rigorous Examination of Mitigation Strategies for LLM Benchmark Data Contamination,https://doi.org/10.48550/arXiv.2503.16402,10.48550/arXiv.2503.16402,2025,International Conference on Machine Learning,benchmark,PARTIAL_OVERLAP,0.5,,Relevance 0.50: paper titled 'The Emperor's New Clothes in Benchmarking? A Rigorous Examination of Mitigation Strategies for LLM B' contributes a 'benchmark' matching target artifact 'empirical+database'. Matched keywords: primary:title:data contamination.,Our proposed work focuses specifically on 'Test-set contamination audit of healthcare LLM benchmarks — noise-pruned'. Narrowing note: removed noisy secondaries=['MedQA']; added to negatives. Articulate a concrete contribution gap versus this existing work before promoting to GO (see §6 verification log).,moderate
T53_N4,paper,"Beyond Next Token Probabilities: Learnable, Fast Detection of Hallucinations and Data Contamination on LLM Output Distributions",https://doi.org/10.1609/aaai.v40i36.40254,10.1609/aaai.v40i36.40254,2025,AAAI Conference on Artificial Intelligence,paper,PARTIAL_OVERLAP,0.5,,"Relevance 0.50: paper titled 'Beyond Next Token Probabilities: Learnable, Fast Detection of Hallucinations and Data Contamination ' contributes a 'paper' matching target artifact 'empirical+database'. Matched keywords: primary:title:data contamination.",Our proposed work focuses specifically on 'Test-set contamination audit of healthcare LLM benchmarks — noise-pruned'. Narrowing note: removed noisy secondaries=['MedQA']; added to negatives. Articulate a concrete contribution gap versus this existing work before promoting to GO (see §6 verification log).,moderate
T53_N4,paper,DCR: Quantifying Data Contamination in LLMs Evaluation,https://doi.org/10.48550/arXiv.2507.11405,10.48550/arXiv.2507.11405,2025,Conference on Empirical Methods in Natural Language Processing,paper,PARTIAL_OVERLAP,0.5,,Relevance 0.50: paper titled 'DCR: Quantifying Data Contamination in LLMs Evaluation' contributes a 'paper' matching target artifact 'empirical+database'. Matched keywords: primary:title:data contamination.,Our proposed work focuses specifically on 'Test-set contamination audit of healthcare LLM benchmarks — noise-pruned'. Narrowing note: removed noisy secondaries=['MedQA']; added to negatives. Articulate a concrete contribution gap versus this existing work before promoting to GO (see §6 verification log).,moderate
T53_N4,paper,Detecting Data Contamination from Reinforcement Learning Post-training for Large Language Models,https://doi.org/10.48550/arXiv.2510.09259,10.48550/arXiv.2510.09259,2025,arXiv.org,paper,PARTIAL_OVERLAP,0.5,,Relevance 0.50: paper titled 'Detecting Data Contamination from Reinforcement Learning Post-training for Large Language Models' contributes a 'paper' matching target artifact 'empirical+database'. Matched keywords: primary:title:data contamination.,Our proposed work focuses specifically on 'Test-set contamination audit of healthcare LLM benchmarks — noise-pruned'. Narrowing note: removed noisy secondaries=['MedQA']; added to negatives. Articulate a concrete contribution gap versus this existing work before promoting to GO (see §6 verification log).,moderate
T53_N4,paper,A Taxonomy for Data Contamination in Large Language Models,https://doi.org/10.18653/v1/2024.conda-1.3,10.18653/v1/2024.conda-1.3,2024,Proceedings of the 1st Workshop on Data Contamination (CONDA),survey,PARTIAL_OVERLAP,0.5,,Relevance 0.50: paper titled 'A Taxonomy for Data Contamination in Large Language Models' contributes a 'survey' matching target artifact 'empirical+database'. Matched keywords: primary:title:data contamination.,Our proposed work focuses specifically on 'Test-set contamination audit of healthcare LLM benchmarks — noise-pruned'. Narrowing note: removed noisy secondaries=['MedQA']; added to negatives. Articulate a concrete contribution gap versus this existing work before promoting to GO (see §6 verification log).,moderate
